ecoregion,year,ba_mcd_native_Mha,ba_firecci_native_Mha
ALASKA BOREAL INTERIOR,2001,0.0,0.0
ALASKA TUNDRA,2001,0.0,0.0
ARCTIC CORDILLERA,2001,0.0,0.0
Arctic Deserts and Tundra,2001,0.0,0.0032
BOREAL CORDILLERA,2001,0.0,0.0
BOREAL PLAIN,2001,0.0,0.0224
BROOKS RANGE TUNDRA,2001,0.0,0.0
Central Taiga,2001,0.7552,0.8496
Forest Tundra,2001,0.0,0.0144
HUDSON PLAIN,2001,0.0064,0.0048
MARINE WEST COAST FOREST,2001,0.0,0.0
MIXED WOOD SHIELD,2001,0.0,0.0
Montane Boreal,2001,0.0512,0.136
Montane Sub-Arctic,2001,0.736,1.176
Montane Sub-Boreal,2001,0.0096,0.0992
NORTHERN ARCTIC,2001,0.0,0.0
Northern Taiga,2001,0.1712,0.208
SOFTWOOD SHIELD,2001,0.0272,0.0064
SOUTHERN ARCTIC,2001,0.0,0.0
Southern Taiga,2001,0.0384,0.104
TAIGA CORDILLERA,2001,0.0,0.0
TAIGA PLAIN,2001,0.0,0.0064
TAIGA SHIELD,2001,0.0128,0.0064
TEMPERATE PRAIRIES,2001,0.0,0.0
WATER,2001,0.0,0.0
WESTERN CORDILLERA,2001,0.0,0.0
Wetlands,2001,0.0992,0.176
ALASKA BOREAL INTERIOR,2002,0.2224,0.3264
ALASKA TUNDRA,2002,0.0048,0.008
ARCTIC CORDILLERA,2002,0.0,0.0
Arctic Deserts and Tundra,2002,0.0416,0.0384
BOREAL CORDILLERA,2002,0.0096,0.0208
BOREAL PLAIN,2002,0.2592,0.2624
BROOKS RANGE TUNDRA,2002,0.0,0.0
Central Taiga,2002,2.9328,3.0416
Forest Tundra,2002,0.0,0.0096
HUDSON PLAIN,2002,0.0944,0.08
MARINE WEST COAST FOREST,2002,0.0,0.0
MIXED WOOD SHIELD,2002,0.0,0.0
Montane Boreal,2002,0.3056,0.4672
Montane Sub-Arctic,2002,0.1888,0.296
Montane Sub-Boreal,2002,0.1104,0.2928
NORTHERN ARCTIC,2002,0.0,0.0
Northern Taiga,2002,0.0096,0.024
SOFTWOOD SHIELD,2002,0.8896,0.6912
SOUTHERN ARCTIC,2002,0.0,0.0
Southern Taiga,2002,0.0256,0.1616
TAIGA CORDILLERA,2002,0.0,0.0032
TAIGA PLAIN,2002,0.0,0.0016
TAIGA SHIELD,2002,0.5008,0.448
TEMPERATE PRAIRIES,2002,0.0,0.0
WATER,2002,0.0,0.0
WESTERN CORDILLERA,2002,0.0,0.0
Wetlands,2002,0.248,0.344
ALASKA BOREAL INTERIOR,2003,0.0288,0.1056
ALASKA TUNDRA,2003,0.0,0.0016
ARCTIC CORDILLERA,2003,0.0,0.0
